Total runs since 260408: 264

date   time      val_f1   val_R test_f1  test_R   abn_R   nor_R   FP   FN  ep  run
260410 185546    0.9519  0.9519  0.9028  0.9000  0.8000  1.0000    0    2   9  v9mid7h_red_n2800_s1_F0.9028_R0.9000
260410 190340    1.0000  1.0000  1.0000  1.0000  1.0000  1.0000    0    0   7  v9mid7h_red_n2800_s2_F1.0000_R1.0000
260410 191115    0.9519  0.9519  1.0000  1.0000  1.0000  1.0000    0    0   9  v9mid7h_red_n2800_s3_F1.0000_R1.0000
260410 191847    0.9028  1.0000  0.9028  0.9000  0.8000  1.0000    0    2   7  v9mid7h_red_n2800_s4_F0.9028_R0.9000
260410 223853    0.9993  0.9993  0.9840  0.9840  0.9707  0.9973    2   22   9  v11_ref_n700_s42_F0.9840_R0.9840
260410 225142    0.9987  0.9987  0.9840  0.9840  0.9680  1.0000    0   24  13  v11_ref_n700_s1_F0.9840_R0.9840
260410 231034    0.9980  0.9980  0.9840  0.9840  0.9707  0.9973    2   22  12  v11_ref_n700_s3_F0.9840_R0.9840
260410 234211    0.9993  0.9993  0.9880  0.9880  0.9813  0.9947    4   14  14  v11b_ref_n700_s3_F0.9880_R0.9880
260410 235732    0.9993  0.9993  0.9867  0.9867  0.9800  0.9933    5   15  11  v11b_ref_n700_s4_F0.9867_R0.9867
260411 020818    0.9973  0.9973  0.9820  0.9820  0.9667  0.9973    2   25  11  v11c_ref_n700_s42_F0.9820_R0.9820
260411 022124    0.9993  0.9993  0.9880  0.9880  0.9787  0.9973    2   16  13  v11c_ref_n700_s1_F0.9880_R0.9880
260411 023544    0.9973  0.9960  0.9867  0.9867  0.9760  0.9973    2   18  12  v11c_ref_n700_s2_F0.9867_R0.9867
260411 025036    0.9987  0.9987  0.9887  0.9887  0.9800  0.9973    2   15  16  v11c_ref_n700_s3_F0.9887_R0.9887
260411 030754    0.9967  0.9967  0.9860  0.9860  0.9747  0.9973    2   19   9  v11c_ref_n700_s4_F0.9860_R0.9860
260411 052323    0.9953  0.9953  0.9833  0.9833  0.9720  0.9947    4   21  13  v11c_n350_s1_F0.9833_R0.9833
260411 073246    0.9973  0.9973  0.9833  0.9833  0.9707  0.9960    3   22  12  v11_baseline_on_n700_s42_F0.9833_R0.9833
260411 074254    0.9993  0.9993  0.9820  0.9820  0.9653  0.9987    1   26  13  v11_baseline_on_n700_s1_F0.9820_R0.9820
260411 075415    0.9993  0.9987  0.9860  0.9860  0.9773  0.9947    4   17  10  v11c_n350_s4_F0.9860_R0.9860
260411 081036    0.9987  0.9980  0.9853  0.9853  0.9733  0.9973    2   20  11  v11c_n1400_s42_F0.9853_R0.9853
260411 082403    0.9967  0.9967  0.9452  0.9453  0.8907  1.0000    0   82  12  v11c_n1400_s1_F0.9452_R0.9453
260411 083942    0.9973  0.9973  0.9418  0.9420  0.8853  0.9987    1   86  11  v11c_n1400_s2_F0.9418_R0.9420
260411 085501    0.9967  0.9967  0.9753  0.9753  0.9520  0.9987    1   36  10  v11c_n1400_s3_F0.9753_R0.9753
260411 090906    0.9867  0.9980  0.9807  0.9807  0.9760  0.9853   11   18   7  v11c_n1400_s4_F0.9807_R0.9807
260411 092327    0.9980  0.9980  0.9820  0.9820  0.9667  0.9973    2   25  10  v11c_n2800_s42_F0.9820_R0.9820
260411 180828    1.0000  1.0000  0.9807  0.9807  0.9640  0.9973    2   27  11  v11d_span_n700_s42_F0.9807_R0.9807
260411 182545    1.0000  1.0000  0.9713  0.9713  0.9467  0.9960    3   40  14  v11_n700_s42_F0.9713_R0.9713
260411 184128    0.9987  0.9987  0.9753  0.9753  0.9573  0.9933    5   32   7  v11_n700_s1_F0.9753_R0.9753
260411 185307    0.9993  0.9993  0.9900  0.9900  0.9893  0.9907    7    8  17  v11_n700_s2_F0.9900_R0.9900
260411 193533    1.0000  1.0000  0.9633  0.9633  0.9293  0.9973    2   53  14  v11_n700_s3_F0.9633_R0.9633
260411 195121    0.9980  0.9980  0.9820  0.9820  0.9787  0.9853   11   16  10  v11_n700_s4_F0.9820_R0.9820
260411 200338    1.0000  1.0000  0.9767  0.9767  0.9547  0.9987    1   34  14  v11_n1400_s42_F0.9767_R0.9767
260411 202032    1.0000  1.0000  0.9740  0.9740  0.9493  0.9987    1   38  10  v11_n1400_s1_F0.9740_R0.9740
260411 203459    1.0000  1.0000  0.9820  0.9820  0.9733  0.9907    7   20   8  v11_n1400_s2_F0.9820_R0.9820
260411 204846    1.0000  1.0000  0.9673  0.9673  0.9373  0.9973    2   47   9  v11_n1400_s3_F0.9673_R0.9673
260411 210307    0.9987  0.9987  0.9566  0.9567  0.9160  0.9973    2   63  16  v11_n1400_s4_F0.9566_R0.9567
260411 212101    1.0000  1.0000  0.9519  0.9520  0.9053  0.9987    1   71  14  v11_n2100_s42_F0.9519_R0.9520
260411 214000    1.0000  0.9993  0.9452  0.9453  0.8907  1.0000    0   82   9  v11_n2100_s1_F0.9452_R0.9453
260411 215514    1.0000  1.0000  0.9573  0.9573  0.9187  0.9960    3   61  15  v11_n2100_s2_F0.9573_R0.9573
260411 221524    1.0000  1.0000  0.9693  0.9693  0.9440  0.9947    4   42  12  v11_n2100_s3_F0.9693_R0.9693
260411 223302    1.0000  1.0000  0.9512  0.9513  0.9040  0.9987    1   72  13  v11_n2100_s4_F0.9512_R0.9513
260411 225010    0.9993  0.9993  0.9626  0.9627  0.9267  0.9987    1   55  14  v11_n2800_s42_F0.9626_R0.9627
260411 231117    1.0000  1.0000  0.9807  0.9807  0.9653  0.9960    3   26   9  v11_n2800_s1_F0.9807_R0.9807
260411 232722    1.0000  1.0000  0.9566  0.9567  0.9160  0.9973    2   63  15  v11_n2800_s2_F0.9566_R0.9567
260411 234906    1.0000  1.0000  0.9747  0.9747  0.9533  0.9960    3   35  12  v11_n2800_s3_F0.9747_R0.9747
260412 000640    1.0000  1.0000  0.9666  0.9667  0.9360  0.9973    2   48  15  v11_n2800_s4_F0.9666_R0.9667
260412 002849    1.0000  1.0000  0.9720  0.9720  0.9480  0.9960    3   39  10  v11_n3500_s42_F0.9720_R0.9720
260412 004614    1.0000  1.0000  0.9526  0.9527  0.9067  0.9987    1   70  10  v11_n3500_s1_F0.9526_R0.9527
260412 010437    0.9993  0.9993  0.9492  0.9493  0.9000  0.9987    1   75   8  v11_n3500_s2_F0.9492_R0.9493
260412 012238    1.0000  1.0000  0.9853  0.9853  0.9760  0.9947    4   18  10  v11_n3500_s3_F0.9853_R0.9853
260412 014101    1.0000  1.0000  0.9660  0.9660  0.9347  0.9973    2   49  10  v11_n3500_s4_F0.9660_R0.9660
