Total runs since 260408: 264

date   time      val_f1   val_R test_f1  test_R   abn_R   nor_R   FP   FN  ep  run
260414 091449    0.9980  0.9980  0.9907  0.9907  0.9827  0.9987    1   13  11  fresh0413_reset_v11_wd000_n700_s2_F0.9907_R0.9907
260414 092630    1.0000  1.0000  0.9967  0.9967  0.9960  0.9973    2    3  12  fresh0413_reset_v11_wd002_n700_s42_F0.9967_R0.9967
260414 093817    1.0000  1.0000  0.9947  0.9947  0.9973  0.9920    6    2   7  fresh0413_reset_v11_wd002_n700_s1_F0.9947_R0.9947
260414 094825    1.0000  1.0000  0.9973  0.9973  0.9973  0.9973    2    2  13  fresh0413_reset_v11_wd002_n700_s2_F0.9973_R0.9973
260414 100102    1.0000  1.0000  0.9973  0.9973  0.9973  0.9973    2    2   9  fresh0413_reset_v11_wd005_n700_s42_F0.9973_R0.9973
260414 101145    1.0000  1.0000  0.9967  0.9967  0.9960  0.9973    2    3  16  fresh0413_reset_v11_wd005_n700_s1_F0.9967_R0.9967
260414 102556    0.9993  0.9993  0.9953  0.9953  0.9933  0.9973    2    5  12  fresh0413_reset_v11_wd005_n700_s2_F0.9953_R0.9953
260414 163317    1.0000  1.0000  0.9973  0.9973  0.9987  0.9960    3    1  12  fresh0413_reset_v11_sw1raw_n700_s42_F0.9973_R0.9973
260414 164517    1.0000  1.0000  0.9913  0.9913  0.9853  0.9973    2   11  13  fresh0413_reset_v11_sw1raw_n700_s1_F0.9913_R0.9913
260414 165755    1.0000  1.0000  0.9933  0.9933  0.9893  0.9973    2    8  12  fresh0413_reset_v11_sw1raw_n700_s2_F0.9933_R0.9933
260414 170938    1.0000  1.0000  0.9967  0.9967  0.9960  0.9973    2    3  12  fresh0413_reset_v11_sw5med_n700_s42_F0.9967_R0.9967
260414 172120    1.0000  1.0000  0.9980  0.9980  0.9987  0.9973    2    1  12  fresh0413_reset_v11_sw5med_n700_s1_F0.9980_R0.9980
260414 173303    0.9993  0.9993  0.9960  0.9960  0.9933  0.9987    1    5  14  fresh0413_reset_v11_sw5med_n700_s2_F0.9960_R0.9960
260414 174638    0.9993  0.9980  0.9967  0.9967  0.9973  0.9960    3    2   9  fresh0413_reset_v11_sw3mean_n700_s42_F0.9967_R0.9967
260414 175704    1.0000  0.9998  0.9893  0.9893  0.9813  0.9973    2   14  15  fresh0413_reset_v11_sw3mean_n700_s1_F0.9893_R0.9893
260414 181132    0.9993  0.9998  0.9980  0.9980  1.0000  0.9960    3    0  13  fresh0413_reset_v11_sw3mean_n700_s2_F0.9980_R0.9980
260414 182445    1.0000  1.0000  0.9947  0.9947  0.9920  0.9973    2    6  13  fresh0413_reset_v11_regls01_n700_s42_F0.9947_R0.9947
260414 183720    0.9840  0.9993  0.9847  0.9847  1.0000  0.9693   23    0   7  fresh0413_reset_v11_regls01_n700_s1_F0.9847_R0.9847
260414 184750    1.0000  1.0000  0.9960  0.9960  0.9947  0.9973    2    4  11  fresh0413_reset_v11_regls01_n700_s2_F0.9960_R0.9960
260414 185915    0.9987  0.9987  0.9953  0.9953  0.9947  0.9960    3    4  12  fresh0413_reset_v11_regdp02_n700_s42_F0.9953_R0.9953
260414 191152    1.0000  1.0000  0.9987  0.9987  1.0000  0.9973    2    0  13  fresh0413_reset_v11_regdp02_n700_s1_F0.9987_R0.9987
260414 192451    1.0000  1.0000  0.9980  0.9980  1.0000  0.9960    3    0   8  fresh0413_reset_v11_regdp02_n700_s2_F0.9980_R0.9980
260414 193525    1.0000  1.0000  0.9973  0.9973  0.9960  0.9987    1    3   8  fresh0413_reset_v11_rescue_lr3e5_wd002_n700_s42_F0.9973_R0.9973
260414 194606    0.9980  0.9980  0.9840  0.9840  0.9693  0.9987    1   23   8  fresh0413_reset_v11_rescue_lr3e5_wd002_n700_s2_F0.9840_R0.9840
260414 195633    1.0000  0.9993  0.9973  0.9973  0.9973  0.9973    2    2  10  fresh0413_reset_v11_rescue_lr3e5_wd005_n700_s42_F0.9973_R0.9973
260414 200706    1.0000  0.9993  0.9947  0.9947  0.9907  0.9987    1    7   8  fresh0413_reset_v11_rescue_lr3e5_wd005_n700_s2_F0.9947_R0.9947
260414 201733    1.0000  1.0000  0.9940  0.9940  0.9907  0.9973    2    7  10  fresh0413_reset_v11_rescue_lr5e5_wd002_n700_s42_F0.9940_R0.9940
260414 202824    0.9993  0.9993  0.9860  0.9860  0.9733  0.9987    1   20   9  fresh0413_reset_v11_rescue_lr5e5_wd002_n700_s2_F0.9860_R0.9860
260414 203902    1.0000  1.0000  0.9987  0.9987  1.0000  0.9973    2    0  10  fresh0413_reset_v11_rescue_lr5e5_wd005_n700_s42_F0.9987_R0.9987
260414 205015    0.9987  0.9987  0.9967  0.9967  0.9947  0.9987    1    4  10  fresh0413_reset_v11_rescue_lr5e5_wd005_n700_s2_F0.9967_R0.9967
260414 210122    0.9987  0.9987  0.9920  0.9920  0.9880  0.9960    3    9  18  fresh0413_reset_v11_pc100_s3_F0.9920_R0.9920
260414 210646    0.9987  0.9980  0.9967  0.9967  0.9960  0.9973    2    3  12  fresh0413_reset_v11_pc100_s4_F0.9967_R0.9967
260414 211126    1.0000  1.0000  0.9953  0.9953  0.9933  0.9973    2    5  14  fresh0413_reset_v11_pc200_s42_F0.9953_R0.9953
260414 211812    0.9993  0.9987  0.9907  0.9907  0.9827  0.9987    1   13  12  fresh0413_reset_v11_pc200_s1_F0.9907_R0.9907
260414 212349    1.0000  0.9987  0.9960  0.9960  0.9933  0.9987    1    5  11  fresh0413_reset_v11_pc200_s2_F0.9960_R0.9960
260414 212905    0.9993  0.9993  0.9973  0.9973  0.9973  0.9973    2    2  17  fresh0413_reset_v11_pc200_s3_F0.9973_R0.9973
260414 213600    0.9987  0.9987  0.9967  0.9967  0.9960  0.9973    2    3  17  fresh0413_reset_v11_pc200_s4_F0.9967_R0.9967
260414 214239    0.9980  0.9980  0.9960  0.9960  0.9987  0.9933    5    1   7  fresh0413_reset_v11_pc300_s42_F0.9960_R0.9960
260414 214820    0.9993  0.9993  0.9980  0.9980  0.9987  0.9973    2    1  13  fresh0413_reset_v11_pc300_s1_F0.9980_R0.9980
260414 215538    0.9987  0.9987  0.9967  0.9967  0.9960  0.9973    2    3  10  fresh0413_reset_v11_pc300_s2_F0.9967_R0.9967
260414 220149    0.9993  0.9993  0.9940  0.9940  0.9893  0.9987    1    8  14  fresh0413_reset_v11_pc300_s3_F0.9940_R0.9940
260414 220902    0.9887  0.9987  0.9893  0.9893  1.0000  0.9787   16    0   7  fresh0413_reset_v11_pc300_s4_F0.9893_R0.9893
260414 221438    0.9993  0.9993  0.9960  0.9960  0.9973  0.9947    4    2  19  fresh0413_reset_v11_pc400_s42_F0.9960_R0.9960
260414 222359    1.0000  1.0000  0.9953  0.9953  0.9933  0.9973    2    5   9  fresh0413_reset_v11_pc400_s1_F0.9953_R0.9953
260414 223100    0.9993  0.9993  0.9947  0.9947  0.9920  0.9973    2    6  15  fresh0413_reset_v11_pc400_s2_F0.9947_R0.9947
260414 224056    0.9993  0.9993  0.9940  0.9940  0.9907  0.9973    2    7   8  fresh0413_reset_v11_pc400_s3_F0.9940_R0.9940
260414 224758    1.0000  1.0000  0.9967  0.9967  0.9947  0.9987    1    4  15  fresh0413_reset_v11_pc400_s4_F0.9967_R0.9967
260414 225738    0.9987  0.9980  0.9967  0.9967  0.9987  0.9947    4    1   9  fresh0413_reset_v11_pc500_s42_F0.9967_R0.9967
260414 230554    1.0000  1.0000  0.9973  0.9973  0.9973  0.9973    2    2   8  fresh0413_reset_v11_pc500_s1_F0.9973_R0.9973
260414 231423    1.0000  0.9987  0.9967  0.9967  0.9960  0.9973    2    3  13  fresh0413_reset_v11_pc500_s2_F0.9967_R0.9967
260414 232432    1.0000  1.0000  0.9933  0.9933  0.9893  0.9973    2    8  14  fresh0413_reset_v11_pc500_s3_F0.9933_R0.9933
260414 233458    1.0000  1.0000  0.9947  0.9947  0.9920  0.9973    2    6  13  fresh0413_reset_v11_pc500_s4_F0.9947_R0.9947
260414 234504    1.0000  1.0000  0.9940  0.9940  0.9893  0.9987    1    8  14  fresh0413_reset_v11_pc600_s42_F0.9940_R0.9940
260414 235706    1.0000  1.0000  0.9973  0.9973  0.9973  0.9973    2    2  12  fresh0413_reset_v11_pc600_s1_F0.9973_R0.9973
260415 000746    1.0000  1.0000  0.9973  0.9973  0.9960  0.9987    1    3   7  fresh0413_reset_v11_pc600_s2_F0.9973_R0.9973
260415 001643    1.0000  1.0000  0.9953  0.9953  0.9933  0.9973    2    5  13  fresh0413_reset_v11_pc600_s3_F0.9953_R0.9953
260415 002739    1.0000  1.0000  0.9940  0.9940  0.9907  0.9973    2    7  11  fresh0413_reset_v11_pc600_s4_F0.9940_R0.9940
260415 003727    1.0000  1.0000  0.9987  0.9987  1.0000  0.9973    2    0   8  fresh0413_reset_v11_pc700_s42_F0.9987_R0.9987
260415 004751    0.9993  0.9993  0.9913  0.9913  0.9853  0.9973    2   11   7  fresh0413_reset_v11_pc700_s1_F0.9913_R0.9913
260415 005756    1.0000  1.0000  0.9967  0.9967  0.9960  0.9973    2    3  11  fresh0413_reset_v11_pc700_s2_F0.9967_R0.9967
260415 010950    1.0000  1.0000  0.9973  0.9973  0.9973  0.9973    2    2  14  fresh0413_reset_v11_pc700_s3_F0.9973_R0.9973
260415 012321    0.9993  0.9987  0.9973  0.9973  0.9960  0.9987    1    3   9  fresh0413_reset_v11_pc700_s4_F0.9973_R0.9973
260415 013344    1.0000  1.0000  0.9960  0.9960  0.9933  0.9987    1    5   9  fresh0413_reset_v11_pc800_s42_F0.9960_R0.9960
260415 014419    0.9993  0.9993  0.9973  0.9973  0.9960  0.9987    1    3  12  fresh0413_reset_v11_pc800_s1_F0.9973_R0.9973
260415 015630    0.9993  0.9993  0.9947  0.9947  0.9920  0.9973    2    6  12  fresh0413_reset_v11_pc800_s2_F0.9947_R0.9947
260415 020840    1.0000  1.0000  0.9967  0.9967  0.9960  0.9973    2    3   8  fresh0413_reset_v11_pc800_s3_F0.9967_R0.9967
260415 021915    1.0000  1.0000  0.9973  0.9973  0.9987  0.9960    3    1  16  fresh0413_reset_v11_pc800_s4_F0.9973_R0.9973
260415 023321    1.0000  1.0000  0.9980  0.9980  0.9987  0.9973    2    1  13  fresh0413_reset_v11_pc900_s42_F0.9980_R0.9980
260415 024624    1.0000  1.0000  0.9987  0.9987  1.0000  0.9973    2    0  15  fresh0413_reset_v11_pc900_s1_F0.9987_R0.9987
260415 030048    1.0000  1.0000  0.9987  0.9987  1.0000  0.9973    2    0  15  fresh0413_reset_v11_pc900_s2_F0.9987_R0.9987
260415 031532    1.0000  1.0000  0.9980  0.9980  1.0000  0.9960    3    0  14  fresh0413_reset_v11_pc900_s3_F0.9980_R0.9980

==============================================================================================================
Group summary (by experiment family, 77 families)
==============================================================================================================
family                                     n  testF1_mean  testF1_med  testF1_min  testF1_max  FN_mean  FP_mean
--------------------------------------------------------------------------------------------------------------
v9mid6_ema_n700                            1       0.9993      0.9993      0.9993      0.9993     0.00     1.00
v9mid6_win_gc0p5_n700                      1       0.9993      0.9993      0.9993      0.9993     0.00     1.00
v9mid6_win_n2800                           1       0.9993      0.9993      0.9993      0.9993     1.00     0.00
v9mid5_win_n700                            3       0.9991      0.9993      0.9987      0.9993     1.33     0.00
v9mid6_win_gc2p0_n700                      3       0.9991      0.9993      0.9980      1.0000     0.67     0.67
v9mid7h_red_n700                           5       0.9991      0.9993      0.9987      0.9993     1.00     0.40
v9mid6_win_n700                            6       0.9989      0.9987      0.9987      0.9993     1.17     0.50
fresh0413_reset_v11_pc900                  4       0.9984      0.9984      0.9980      0.9987     0.25     2.25
v9mid4_win_n700                            3       0.9982      0.9980      0.9980      0.9987     2.33     0.33
fresh0413_reset_v11_rescue_lr5e5_wd005_    2       0.9977      0.9977      0.9967      0.9987     2.00     1.50
fresh0413_reset_v11_regdp02_n700           3       0.9973      0.9980      0.9953      0.9987     1.33     2.67
v9mid7h_red_n1400                          4       0.9970      0.9967      0.9960      0.9987     4.50     0.00
fresh0413_reset_v11_n700                   5       0.9969      0.9967      0.9960      0.9993     1.20     3.40
fresh0413_reset_v11_sw5med_n700            3       0.9969      0.9967      0.9960      0.9980     3.00     1.67
fresh0413_reset_v11_n3500                  5       0.9965      0.9973      0.9933      0.9987     4.00     1.20
fresh0413_reset_v11_lrwarm3_n700           3       0.9964      0.9960      0.9960      0.9973     2.33     3.00
fresh0413_reset_v11_lrwarm8_n700           3       0.9964      0.9973      0.9940      0.9980     3.00     2.33
fresh0413_reset_v11_wd005_n700             3       0.9964      0.9967      0.9953      0.9973     3.33     2.00
fresh0413_reset_v11_pc800                  5       0.9964      0.9967      0.9947      0.9973     3.60     1.80
v9mid7h_win_n700                           2       0.9964      0.9964      0.9960      0.9967     4.50     1.00
fresh0413_reset_v11_pc700                  5       0.9963      0.9973      0.9913      0.9987     3.80     1.80
fresh0413_reset_v11_wd002_n700             3       0.9962      0.9967      0.9947      0.9973     2.33     3.33
fresh0413_reset_v11_rescue_lr3e5_wd005_    2       0.9960      0.9960      0.9947      0.9973     4.50     1.50
fresh0413_reset_v11_pc500                  5       0.9957      0.9967      0.9933      0.9973     4.00     2.40
fresh0413_reset_v11_pc600                  5       0.9956      0.9953      0.9940      0.9973     5.00     1.60
fresh0413_reset_v11_lr5e5_n700             3       0.9956      0.9953      0.9927      0.9987     3.33     3.33
fresh0413_reset_v11_pc400                  5       0.9953      0.9953      0.9940      0.9967     4.80     2.20
fresh0413_reset_v11_wd000_n700             3       0.9953      0.9973      0.9907      0.9980     4.67     2.33
fresh0413_reset_v11_pc200                  5       0.9952      0.9960      0.9907      0.9973     5.60     1.60
fresh0412_v11_lr5e5_n2800                  3       0.9951      0.9947      0.9947      0.9960     5.00     2.33
fresh0413_reset_v11_lr1e4_n700             3       0.9951      0.9953      0.9947      0.9953     6.00     1.33
fresh0413_reset_v11_n1400                  5       0.9950      0.9953      0.9913      0.9973     6.00     1.40
v9mid3_win_n700                            3       0.9949      0.9947      0.9940      0.9960     5.00     2.67
fresh0413_reset_v11_lr3e5_n700             3       0.9949      0.9953      0.9913      0.9980     3.33     4.33
fresh0413_reset_v11_pc300                  5       0.9948      0.9960      0.9893      0.9980     2.60     5.20
fresh0413_reset_v11_sw3mean_n700           3       0.9947      0.9967      0.9893      0.9980     5.33     2.67
v9mid7h_blue_n700                          3       0.9947      0.9940      0.9933      0.9967     8.00     0.00
fresh0413_reset_v11_n2100                  5       0.9945      0.9947      0.9893      0.9973     7.00     1.20
fresh0413_reset_v11_sw1raw_n700            3       0.9940      0.9933      0.9913      0.9973     6.67     2.33
v9mid7h_red_n350                           5       0.9929      0.9940      0.9847      0.9987     9.60     1.00
fresh0413_reset_v11_lr1e5_n700             3       0.9926      0.9953      0.9873      0.9953     9.33     1.67
fresh0412_v11_n2800                        5       0.9923      0.9927      0.9860      0.9967     9.80     1.80
fresh0413_reset_v11_regls01_n700           3       0.9918      0.9947      0.9847      0.9960     3.33     9.00
fresh0413_reset_v11_n2800                  5       0.9917      0.9953      0.9760      0.9980    11.40     1.00
fresh0413_reset_v11_pc100                  5       0.9916      0.9920      0.9867      0.9967    11.00     1.60
fresh0412_v11_n2100                        5       0.9916      0.9913      0.9893      0.9940    10.00     2.60
fresh0412_v11_sw1raw_n2800                 1       0.9913      0.9913      0.9913      0.9913     7.00     6.00
fresh0413_reset_v11_rescue_lr3e5_wd002_    2       0.9907      0.9907      0.9840      0.9973    13.00     1.00
fresh0412_v11_n700                         5       0.9901      0.9907      0.9867      0.9920     9.80     5.00
fresh0413_reset_v11_rescue_lr5e5_wd002_    2       0.9900      0.9900      0.9860      0.9940    13.50     1.50
fresh0412_v11_lr1e4_n2800                  3       0.9900      0.9913      0.9833      0.9953    12.67     2.33
fresh0412_v11_n1400                        5       0.9899      0.9933      0.9827      0.9933    12.00     3.20
fresh0412_v11_lrwarm8_n2800                3       0.9898      0.9913      0.9833      0.9947    13.33     2.00
fresh0412_v11_gc05_n2800                   3       0.9896      0.9887      0.9880      0.9920    10.67     5.00
fresh0412_v11_lrwarm3_n2800                3       0.9894      0.9907      0.9847      0.9927    13.67     2.33
fresh0412_v11_lr3e5_n2800                  3       0.9893      0.9900      0.9860      0.9920    12.33     3.67
fresh0412_v11_gc50_n2800                   3       0.9878      0.9887      0.9847      0.9900    15.00     3.33
v11b_ref_n700                              2       0.9873      0.9873      0.9867      0.9880    14.50     4.50
fresh0412_v11_gc20_n2800                   3       0.9867      0.9867      0.9860      0.9873    19.00     1.00
fresh0412_v11_lr1e5_n2800                  3       0.9865      0.9840      0.9807      0.9947    18.67     1.67
v11c_ref_n700                              5       0.9863      0.9867      0.9820      0.9887    18.60     2.00
v11c_n350                                  2       0.9847      0.9847      0.9833      0.9860    19.00     4.00
v11_ref_n700                               3       0.9840      0.9840      0.9840      0.9840    22.67     1.33
v11_baseline_on_n700                       2       0.9827      0.9827      0.9820      0.9833    24.00     2.00
v11c_n2800                                 1       0.9820      0.9820      0.9820      0.9820    25.00     2.00
v11d_span_n700                             1       0.9807      0.9807      0.9807      0.9807    27.00     2.00
fresh0413_reset_v11_gc05_n700              2       0.9769      0.9769      0.9552      0.9987     0.00    34.50
v11_n700                                   5       0.9764      0.9753      0.9633      0.9900    29.80     5.60
v11_n1400                                  5       0.9713      0.9740      0.9566      0.9820    40.40     2.60
v11_n2800                                  5       0.9682      0.9666      0.9566      0.9807    45.40     2.20
v9mid_phase1cBmod_bs32_pat10_n700          1       0.9673      0.9673      0.9673      0.9673    13.00    36.00
v11c_n1400                                 5       0.9657      0.9753      0.9418      0.9853    48.40     3.00
v11_n3500                                  5       0.9650      0.9660      0.9492      0.9853    50.20     2.20
v9mid7h_red_n2800                          5       0.9611      1.0000      0.9028      1.0000     0.80     0.00
v11_n2100                                  5       0.9550      0.9519      0.9452      0.9693    65.60     1.80
v9_p1cB_bs32_pat10_lr2e_warm10_bf16        1       0.8921      0.8921      0.8921      0.8921    27.00   134.00
v9_p1cB_lr2_w10_bf16_n700                  1       0.8548      0.8548      0.8548      0.8548    22.00   193.00

==============================================================================================================
Top 15 by test_f1 (ties broken by lower FN)
==============================================================================================================
  F1=1.0000 R=1.0000 FP=  0 FN=  0 ep=14  260410_060540_v9mid6_win_gc2p0_n700_s42_F1.0000_R1.0000
  F1=1.0000 R=1.0000 FP=  0 FN=  0 ep=10  260410_184808_v9mid7h_red_n2800_s42_F1.0000_R1.0000
  F1=1.0000 R=1.0000 FP=  0 FN=  0 ep= 7  260410_190340_v9mid7h_red_n2800_s2_F1.0000_R1.0000
  F1=1.0000 R=1.0000 FP=  0 FN=  0 ep= 9  260410_191115_v9mid7h_red_n2800_s3_F1.0000_R1.0000
  F1=0.9993 R=0.9993 FP=  1 FN=  0 ep=13  260410_011547_v9mid6_win_n700_s2_F0.9993_R0.9993
  F1=0.9993 R=0.9993 FP=  1 FN=  0 ep=10  260410_053705_v9mid6_ema_n700_s42_F0.9993_R0.9993
  F1=0.9993 R=0.9993 FP=  1 FN=  0 ep=11  260410_055100_v9mid6_win_gc0p5_n700_s42_F0.9993_R0.9993
  F1=0.9993 R=0.9993 FP=  1 FN=  0 ep= 9  260410_062236_v9mid6_win_gc2p0_n700_s1_F0.9993_R0.9993
  F1=0.9993 R=0.9993 FP=  1 FN=  0 ep= 7  260410_073245_v9mid6_win_n700_s4_F0.9993_R0.9993
  F1=0.9993 R=0.9993 FP=  1 FN=  0 ep= 9  260410_122513_v9mid7h_red_n700_s1_F0.9993_R0.9993
  F1=0.9993 R=0.9993 FP=  1 FN=  0 ep=15  260410_162318_v9mid7h_red_n700_s4_F0.9993_R0.9993
  F1=0.9993 R=0.9993 FP=  1 FN=  0 ep=14  260413_081307_fresh0413_reset_v11_n700_s3_F0.9993_R0.9993
  F1=0.9993 R=0.9993 FP=  0 FN=  1 ep=10  260409_235841_v9mid5_win_n700_s42_F0.9993_R0.9993
  F1=0.9993 R=0.9993 FP=  0 FN=  1 ep= 9  260410_002716_v9mid5_win_n700_s2_F0.9993_R0.9993
  F1=0.9993 R=0.9993 FP=  0 FN=  1 ep=11  260410_013246_v9mid6_win_n2800_s42_F0.9993_R0.9993

Worst 10 by test_f1
--------------------------------------------------------------------------------------------------------------
  F1=0.9519 R=0.9520 FP=  1 FN= 71 ep=14  260411_212101_v11_n2100_s42_F0.9519_R0.9520
  F1=0.9512 R=0.9513 FP=  1 FN= 72 ep=13  260411_223302_v11_n2100_s4_F0.9512_R0.9513
  F1=0.9492 R=0.9493 FP=  1 FN= 75 ep= 8  260412_010437_v11_n3500_s2_F0.9492_R0.9493
  F1=0.9452 R=0.9453 FP=  0 FN= 82 ep=12  260411_082403_v11c_n1400_s1_F0.9452_R0.9453
  F1=0.9452 R=0.9453 FP=  0 FN= 82 ep= 9  260411_214000_v11_n2100_s1_F0.9452_R0.9453
  F1=0.9418 R=0.9420 FP=  1 FN= 86 ep=11  260411_083942_v11c_n1400_s2_F0.9418_R0.9420
  F1=0.9028 R=0.9000 FP=  0 FN=  2 ep= 9  260410_185546_v9mid7h_red_n2800_s1_F0.9028_R0.9000
  F1=0.9028 R=0.9000 FP=  0 FN=  2 ep= 7  260410_191847_v9mid7h_red_n2800_s4_F0.9028_R0.9000
  F1=0.8921 R=0.8927 FP=134 FN= 27 ep= 7  260409_173517_v9_p1cB_bs32_pat10_lr2e_warm10_bf16_s42_F0.8921_R0.8927
  F1=0.8548 R=0.8567 FP=193 FN= 22 ep= 7  260409_171758_v9_p1cB_lr2_w10_bf16_n700_s42_F0.8548_R0.8567
