name,mtime,mode,epoch,val_f1,test_f1,test_acc,abn_R,nor_R,lr_bb,lr_head,epochs,batch_size,focal_gamma,abnormal_weight,dropout,label_smoothing,use_mixup,normal_ratio,ema_decay,smooth_window,min_epochs
imp_d03,2026-04-05T20:47:59.873951,binary,2,0.8792,0.8812,0.9388,0.9928469241773963,0.6866666666666666,0.0001,0.001,50,32,,,,,False,,,,
imp_d07,2026-04-05T20:58:37.601886,binary,3,0.9837,0.9414,0.9647,0.9685264663805436,0.9466666666666667,0.0001,0.001,50,32,,,,,False,,,,
imp_g1.0,2026-04-05T19:03:24.277667,binary,3,0.9557,0.9077,0.947,0.9713876967095851,0.8333333333333334,0.0001,0.001,50,32,,,,,False,,,,
imp_g1.5,2026-04-05T19:12:04.936670,binary,1,0.8979,0.8836,0.9376,0.9828326180257511,0.7266666666666667,0.0001,0.001,50,32,,,,,False,,,,
imp_g2.5,2026-04-05T19:26:57.397998,binary,9,0.9775,0.9308,0.96,0.977110157367668,0.88,0.0001,0.001,50,32,,,,,False,,,,
imp_g3.0,2026-04-05T19:40:36.501013,binary,7,0.9397,0.9116,0.9517,0.9871244635193133,0.7866666666666666,0.0001,0.001,50,32,,,,,False,,,,
imp_lr_hi,2026-04-05T20:38:19.783332,binary,4,0.9879,0.9377,0.9635,0.9756795422031473,0.9066666666666666,0.0002,0.002,50,32,,,,,False,,,,
imp_lr_low,2026-04-05T20:26:57.299554,binary,6,0.9775,0.9319,0.96,0.9728183118741058,0.9,5e-05,0.0005,50,32,,,,,False,,,,
imp_min15,2026-04-05T21:31:03.263341,binary,4,0.9602,0.9319,0.9611,0.9814020028612304,0.8666666666666667,0.0001,0.001,50,32,,,,,False,,,,
imp_mix02,2026-04-05T21:08:16.799831,binary,2,0.9711,0.923,0.9529,0.9570815450643777,0.9333333333333333,0.0001,0.001,50,32,,,,,True,,,,
imp_mix04,2026-04-05T21:19:40.234803,binary,4,0.994,0.9476,0.9682,0.9685264663805436,0.9666666666666667,0.0001,0.001,50,32,,,,,True,,,,
imp_s10_05,2026-04-05T19:51:19.309054,binary,3,0.882,0.8734,0.9364,0.9971387696709585,0.6533333333333333,0.0001,0.001,50,32,,,,,False,,,,
imp_s7_07,2026-04-05T20:00:57.757228,binary,2,0.8142,0.8369,0.9211,0.9957081545064378,0.5733333333333334,0.0001,0.001,50,32,,,,,False,,,,
lw_nor01,2026-04-06T08:08:07.298140,multiclass,21,0.9811,0.9323,0.9293,,0.9,0.0001,0.001,50,32,,,,,False,,,,
lw_nor03,2026-04-06T07:42:50.770902,multiclass,17,0.9911,0.9396,0.9376,,0.9533333333333334,0.0001,0.001,50,32,,,,,False,,,,
lw_nor05,2026-04-06T07:20:22.558050,multiclass,18,0.9889,0.9175,0.914,,0.9933333333333333,0.0001,0.001,50,32,,,,,False,,,,
lw_spk3,2026-04-06T08:32:21.079568,multiclass,13,0.9823,0.9184,0.9152,,0.9,0.0001,0.001,50,32,,,,,False,,,,
multiclass_ls,2026-04-04T18:15:09.047842,multiclass,21,0.9801,0.8785,0.8756,,0.9733333333333334,0.0001,0.001,50,32,,,,,False,,,,
multiclass_mixup,2026-04-04T18:02:32.991677,multiclass,29,0.9801,0.8797,0.8778,,0.9866666666666667,0.0001,0.001,50,32,,,,,True,,,,
multiclass_steplr,2026-04-04T17:42:31.476991,multiclass,29,0.9755,0.9092,0.9089,,0.96,0.0001,0.001,50,32,,,,,False,,,,
r3_analysis,2026-04-04T15:59:37.980236,,14,0.947,0.8336,0.8311,,0.8266666666666667,0.0001,0.001,50,32,,,,,False,,,,
r3_batch64,2026-04-04T16:42:55.893273,,12,0.9541,0.8236,0.8178,,0.9333333333333333,0.0001,0.001,50,64,,,,,False,,,,
r3_cosine_amp,2026-04-04T16:04:10.883336,,10,0.9408,0.8232,0.82,,0.8533333333333334,5e-05,0.0005,50,32,,,,,False,,,,
r3_cosine_mixup,2026-04-04T16:25:14.230886,,38,0.9538,0.8461,0.8422,,0.8533333333333334,5e-05,0.0005,50,32,,,,,True,,,,
r3_steplr_10_05,2026-04-04T15:48:47.810283,,25,0.9515,0.8132,0.8089,,0.92,5e-05,0.0005,50,32,,,,,False,,,,
r3_steplr_15_05_hiLR,2026-04-04T15:26:20.598539,,10,0.943,0.8133,0.8111,,0.84,0.0001,0.001,50,32,,,,,False,,,,
r3_steplr_labelsmooth,2026-04-04T16:33:25.931912,,9,0.9474,0.8318,0.8267,,0.9333333333333333,0.0001,0.001,50,32,,,,,False,,,,
r3_steplr_mixup,2026-04-04T15:35:19.912642,,11,0.9432,0.817,0.8111,,0.9333333333333333,0.0001,0.001,50,32,,,,,True,,,,
r3_swin_steplr,2026-04-04T16:56:12.886818,,34,0.9345,0.8076,0.8022,,0.84,5e-05,0.0005,50,32,,,,,False,,,,
r4_anomaly_type,2026-04-04T19:12:30.253698,anomaly_type,12,0.9854,0.9399,0.9387,,,0.0001,0.001,50,32,,,,,False,,,,
r4_binary,2026-04-04T18:56:34.071327,binary,5,0.964,0.8703,0.9144,0.8986666666666666,0.9933333333333333,0.0001,0.001,50,32,,,,,False,,,,
r4_multiclass_best,2026-04-04T18:44:23.007427,multiclass,11,0.9715,0.8907,0.8878,,0.9733333333333334,0.0001,0.001,50,32,,,,,False,,,,
r4_multiclass_lowlr,2026-04-04T20:32:26.049702,multiclass,8,0.9724,0.8875,0.8856,,0.92,5e-05,0.0005,50,32,,,,,False,,,,
r4_multiclass_ls,2026-04-04T19:26:28.994423,multiclass,9,0.9736,0.8837,0.8822,,0.96,0.0001,0.001,50,32,,,,,False,,,,
r4_multiclass_mixup,2026-04-04T19:47:15.903665,multiclass,15,0.9746,0.883,0.8811,,0.9666666666666667,0.0001,0.001,50,32,,,,,True,,,,
r4_multiclass_step10,2026-04-04T20:17:41.689556,multiclass,27,0.9823,0.9008,0.8989,,0.9666666666666667,0.0001,0.001,50,32,,,,,False,,,,
r5_at_ls,2026-04-05T03:00:23.244519,anomaly_type,15,0.992,0.9604,0.96,,,0.0001,0.001,50,32,,,,,False,,,,
r5_at_mixup,2026-04-05T02:42:26.012385,anomaly_type,18,0.9893,0.9441,0.944,,,0.0001,0.001,50,32,,,,,True,,,,
r5_at_steplr15,2026-04-05T02:23:23.679303,anomaly_type,10,0.988,0.924,0.9227,,,0.0001,0.001,50,32,,,,,False,,,,
r6_at_100,2026-04-05T03:38:38.318280,anomaly_type,25,0.972,0.8595,0.86,,,0.0001,0.001,50,32,,,,,False,,,,
r6_at_200,2026-04-05T03:56:15.137770,anomaly_type,20,0.9813,0.901,0.9013,,,0.0001,0.001,50,32,,,,,False,,,,
r6_at_350,2026-04-05T04:11:18.177760,anomaly_type,11,0.9853,0.8769,0.8787,,,0.0001,0.001,50,32,,,,,False,,,,
r6_at_500,2026-04-05T04:45:08.632638,anomaly_type,15,0.9893,0.9079,0.908,,,0.0001,0.001,50,32,,,,,False,,,,
r6_at_full,2026-04-05T05:20:58.959974,anomaly_type,23,0.9893,0.9196,0.92,,,0.0001,0.001,50,32,,,,,False,,,,
r6_binary_100,2026-04-05T03:32:35.124296,binary,13,0.9638,0.8212,0.8733,0.848,1.0,0.0001,0.001,50,32,,,,,False,,,,
r6_binary_200,2026-04-05T03:47:12.905868,binary,19,0.9901,0.9078,0.9422,0.932,0.9933333333333333,0.0001,0.001,50,32,,,,,False,,,,
r6_binary_2k,2026-04-05T09:58:20.385723,binary,3,0.9911,0.9017,0.9378,0.926,0.9966666666666667,0.0001,0.001,50,32,,,,,False,,,,
r6_binary_350,2026-04-05T04:01:50.901102,binary,5,0.9863,0.8675,0.9122,0.896,0.9933333333333333,0.0001,0.001,50,32,,,,,False,,,,
r6_binary_500,2026-04-05T04:30:22.620486,binary,23,0.996,0.9403,0.9644,0.96,0.9866666666666667,0.0001,0.001,50,32,,,,,False,,,,
