iter,seed,n,best_ep,test_f1,test_recall,test_acc,abn_R,nor_R,fn,fp,total_err,log_name,desc
gc1.0,42,700,10,0.9993,0.9993,0.9993,0.9987,1.0,1,0,1,260409_235841_v9mid5_win_n700_s42_F0.9993_R0.9993,gc=1.0 default (v5 winning)
gc1.0,1,700,11,0.9987,0.9987,0.9987,0.9973,1.0,2,0,2,260410_001255_v9mid5_win_n700_s1_F0.9987_R0.9987,gc=1.0 s=1
gc1.0,2,700,9,0.9993,0.9993,0.9993,0.9987,1.0,1,0,1,260410_002716_v9mid5_win_n700_s2_F0.9993_R0.9993,gc=1.0 s=2
gc0.5,42,700,11,0.9993,0.9993,0.9993,1.0,0.9987,0,1,1,260410_055100_v9mid6_win_gc0p5_n700_s42_F0.9993_R0.9993,gc=0.5 tighter clip
gc2.0,42,700,14,1.0,1.0,1.0,1.0,1.0,0,0,0,260410_060540_v9mid6_win_gc2p0_n700_s42_F1.0000_R1.0000,gc=2.0 PERFECT run
gc2.0,1,700,9,0.9993,0.9993,0.9993,1.0,0.9987,0,1,1,260410_062236_v9mid6_win_gc2p0_n700_s1_F0.9993_R0.9993,gc=2.0 s=1
gc2.0,2,700,8,0.998,0.998,0.998,0.9973,0.9987,2,1,3,260410_063639_v9mid6_win_gc2p0_n700_s2_F0.9980_R0.9980,gc=2.0 s=2
